"Tag Number","Electronic ID","NLIS","Global ID","PIC","Date of Birth","Sex","Breed","Colour","Sire VID","Sire EID","Dam VID","Dam EID","Donor Dam VID","Donor Dam EID","Group","Overall ADG","Trait Name","Trait Value","Trait ADG","When Trait Recorded","Trait In Session","Trait Scanned In Session","Activity Name","When Activity Measured","Activity In Session","Activity Scanned In Session","Treatment Name","Treatment Dosage","Treatment Batch","Treatment Expiry","Treatment Treated","Treatment Value","When Treatment Measured","Treatment In Session","Treatment Scanned In Session","Note","When Note Measured","Note In Session","Note Scanned In Session","Animal Scanned In Sessions","When Animal Scanned In Session","Event Type","When Event Created","Event In Session","Event Notes","Event Gross Amount","Event Net Amount","Farm","Property","Area","PIC Date Updated","Date of Birth Date Updated","Sex Date Updated","Breed Date Updated","Colour Date Updated","Sire Date Updated","Dam Date Updated","Group Date Updated","Donor Dam Date Updated","Farm Date Updated","Property Date Updated","Area Date Updated","Full RFID","Full RFID Date Updated","GESTACION"
"1964","032 010006501964","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1964","2025/10/09 08:35:26","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:35:26","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:35:21","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1965","032 010006501965","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1965","2025/10/09 08:36:20","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:36:20","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:36:18","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1966","032 010006501966","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1966","2025/10/09 08:37:40","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:37:40","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:37:37","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1967","032 010006501967","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1967","2025/10/09 08:38:47","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:38:47","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:38:44","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1968","032 010006501968","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1968","2025/10/09 08:40:27","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:40:27","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:40:12","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1969","032 010006501969","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1969","2025/10/09 08:41:16","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:41:16","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:41:14","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1970","032 010006501970","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1970","2025/10/09 08:42:09","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:42:09","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:42:06","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1971","032 010006501971","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1971","2025/10/09 08:43:05","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:43:05","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:43:02","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1972","032 010006501972","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1972","2025/10/09 08:43:53","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:43:53","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:43:51","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1973","032 010006501973","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1973","2025/10/09 08:47:25","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:47:25","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:47:22","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1974","032 010006501974","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1974","2025/10/09 08:48:42","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:48:42","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:48:39","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1975","032 010006501975","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1975","2025/10/09 08:51:25","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:51:25","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:51:20","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1976","032 010006501976","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1976","2025/10/09 08:52:08","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:52:08","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:52:05","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1977","032 010006501977","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1977","2025/10/09 08:53:01","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:53:01","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:52:57","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1978","032 010006501978","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1978","2025/10/09 08:53:53","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:53:53","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:53:50","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1979","032 010006501979","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1979","2025/10/09 08:55:50","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:55:50","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:55:06","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1980","032 010006501980","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1980","2025/10/09 08:56:30","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:56:30","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:56:27","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1981","032 010006501981","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1981","2025/10/09 08:57:27","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:57:27","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:57:24","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1982","032 010006501982","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1982","2025/10/09 08:58:14","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:58:14","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:58:11","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1983","032 010006501983","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1983","2025/10/09 08:59:05","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:59:05","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:59:02","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1984","032 010006501984","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1984","2025/10/09 08:59:56","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:59:56","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:59:53","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1985","032 010006501985","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1985","2025/10/09 09:01:00","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:01:00","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:00:54","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1986","032 010006501986","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1986","2025/10/09 09:02:27","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:02:27","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:02:23","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1987","032 010006501987","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1987","2025/10/09 09:03:38","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:03:38","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:03:34","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1988","032 010006501988","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1988","2025/10/09 09:05:55","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:05:55","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:05:52","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1989","032 010006501989","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1989","2025/10/09 09:06:39","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:06:39","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:06:03","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1990","032 010006501990","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1990","2025/10/09 09:07:56","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:07:56","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:07:48","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1991","032 010006501991","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1991","2025/10/09 09:08:53","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:08:53","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:08:51","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1992","032 010006501992","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1992","2025/10/09 09:10:10","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:10:10","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:10:07","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1993","032 010006501993","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1993","2025/10/09 09:11:14","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:11:14","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:11:11","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1994","032 010006501994","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1994","2025/10/09 09:12:44","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:12:44","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:12:37","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1995","032 010006501995","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1995","2025/10/09 09:20:15","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:20:15","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:20:13","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1996","032 010006501996","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1996","2025/10/09 09:22:47","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:22:47","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:22:44","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1997","032 010006501997","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1997","2025/10/09 09:23:32","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:23:32","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:23:28","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1998","032 010006501998","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1998","2025/10/09 09:23:45","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:23:45","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:23:43","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1999","032 010006501999","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1999","2025/10/09 09:25:54","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:25:54","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:25:50","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0150","032 010006500150","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0150","2025/10/09 09:27:15","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:27:15","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:26:27","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0151","032 010006500151","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0151","2025/10/09 09:29:13","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:29:13","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:29:11","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"0152","032 010006500152","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0152","2025/10/09 09:30:07","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:30:07","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:30:03","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0153","032 010006500153","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0153","2025/10/09 09:31:35","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:31:35","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:31:31","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0154","032 010006500154","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0154","2025/10/09 09:32:09","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:32:09","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:32:06","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0155","032 010006500155","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0155","2025/10/09 09:33:50","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:33:50","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:33:47","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0156","032 010006500156","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0156","2025/10/09 09:36:05","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:36:05","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:34:21","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"0157","032 010006500157","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0157","2025/10/09 09:37:34","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:37:34","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:37:31","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"0158","032 010006500158","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0158","2025/10/09 09:38:48","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:38:48","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:38:46","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"0159","032 010006500159","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0159","2025/10/09 09:39:38","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:39:38","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:39:36","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0160","032 010006500160","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0160","2025/10/09 09:40:39","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:40:39","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:40:36","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"0161","032 010006500161","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0161","2025/10/09 09:41:37","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:41:37","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:41:32","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0162","032 010006500162","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0162","2025/10/09 09:42:33","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:42:33","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:42:30","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"0163","032 010006500163","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0163","2025/10/09 09:43:58","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:43:58","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:43:55","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0164","032 010006500164","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0164","2025/10/09 09:45:21","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:45:21","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:45:15","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0165","032 010006500165","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0165","2025/10/09 09:45:59","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:45:59","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:45:55","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0166","032 010006500166","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0166","2025/10/09 09:48:20","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:48:20","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:48:17","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"0167","032 010006500167","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0167","2025/10/09 09:49:25","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:49:25","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:49:23","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0168","032 010006500168","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0168","2025/10/09 09:51:13","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:51:13","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:51:10","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0169","032 010006500169","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0169","2025/10/09 09:53:24","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:53:24","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:53:19","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0170","032 010006500170","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0170","2025/10/09 09:54:16","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:54:16","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:54:13","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"0171","032 010006500171","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0171","2025/10/09 09:55:52","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:55:52","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:55:47","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"0172","032 010006500172","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0172","2025/10/09 09:57:32","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:57:32","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:57:28","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"0173","032 010006500173","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0173","2025/10/09 09:59:37","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:59:37","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 09:59:35","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0174","032 010006500174","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0174","2025/10/09 10:01:26","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 10:01:26","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 10:01:23","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0175","032 010006500175","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0175","2025/10/09 10:02:52","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 10:02:52","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 10:02:50","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"0176","032 010006500176","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0176","2025/10/09 10:04:08","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 10:04:08","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 10:04:06","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0177","032 010006500177","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0177","2025/10/09 10:05:17","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 10:05:17","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 10:05:14","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"0178","032 010006500178","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0178","2025/10/09 10:06:37","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 10:06:37","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 10:06:34","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"0179","032 010006500179","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0179","2025/10/09 10:10:57","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 10:10:57","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 10:10:53","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"0180","032 010006500180","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:0180","2025/10/09 10:12:09","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 10:12:09","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 10:12:07","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
